,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
64,اضافه کردین,اضافه می کردین,اضافه کرده بودین,اضافه کرده باشین,داشتین اضافه می کردین,اضافه می کنین,اضافه بکنین,دارین اضافه می کنین,می خواین اضافه بکنین,اضافه بکنین
65,اضافه کردن,اضافه می کردن,اضافه کرده بودن,اضافه کرده باشن,داشتن اضافه می کردن,اضافه می کنن,اضافه بکنن,دارن اضافه می کنن,می خوان اضافه بکنن,اضافه بکنن
66,افتادم,می افتادم,افتاده بودم,افتاده باشم,داشتم  می افتادم,می افتم,بیافتم,دارم  می افتم,می خوام بیافتم,-
67,افتادی,می افتادی,افتاده بودی,افتاده باشی,داشتی  می افتادی,می افتی,بیافتی,داری  می افتی,می خوای بیافتی,بافت
68,افتاد,می افتاد,افتاده بود,افتاده باش,داشته  می افتاده,می افته,بیافته,داره  می افته,می خواد بیافته,بافته
69,افتادیم,می افتادیم,افتاده بودیم,افتاده باشیم,داشتیم  می افتادیم,می افتیم,بیافتیم,داریم  می افتیم,می خوایم بیافتیم,بافتیم
70,افتادین,می افتادین,افتاده بودین,افتاده باشین,داشتین  می افتادین,می افتین,بیافتین,دارین  می افتین,می خواین بیافتین,بافتین
71,افتادن,می افتادن,افتاده بودن,افتاده باشن,داشتن  می افتادن,می افتن,بیافتن,دارن  می افتن,می خوان بیافتن,بافتن
72,انجام دادم,انجام می دادم,انجام داده بودم,انجام داده باشم,داشتم انجام می دادم,انجام می دم,انجام بدم,دارم انجام می دم,می خوام انجام بدم,-
73,انجام دادی,انجام می دادی,انجام داده بودی,انجام داده باشی,داشتی انجام می دادی,انجام می دی,انجام بدی,داری انجام می دی,می خوای انجام بدی,انجام بد
74,انجام داد,انجام می داد,انجام داده بود,انجام داده باش,داشته انجام می داده,انجام می ده,انجام بده,داره انجام می ده,می خواد انجام بده,انجام بده
75,انجام دادیم,انجام می دادیم,انجام داده بودیم,انجام داده باشیم,داشتیم انجام می دادیم,انجام می دیم,انجام بدیم,داریم انجام می دیم,می خوایم انجام بدیم,انجام بدیم
76,انجام دادین,انجام می دادین,انجام داده بودین,انجام داده باشین,داشتین انجام می دادین,انجام می دین,انجام بدین,دارین انجام می دین,می خواین انجام بدین,انجام بدین
77,انجام دادن,انجام می دادن,انجام داده بودن,انجام داده باشن,داشتن انجام می دادن,انجام می دن,انجام بدن,دارن انجام می دن,می خوان انجام بدن,انجام بدن
78,انداختم,می انداختم,انداخته بودم,انداخته باشم,داشتم  می انداختم,می اندازم,باندازم,دارم  می اندازم,می خوام باندازم,-
79,انداختی,می انداختی,انداخته بودی,انداخته باشی,داشتی  می انداختی,می اندازی,باندازی,داری  می اندازی,می خوای باندازی,بانداز
80,انداخت,می انداخت,انداخته بود,انداخته باش,داشته  می انداخته,می اندازه,باندازه,داره  می اندازه,می خواد باندازه,باندازه
81,انداختیم,می انداختیم,انداخته بودیم,انداخته باشیم,داشتیم  می انداختیم,می اندازیم,باندازیم,داریم  می اندازیم,می خوایم باندازیم,باندازیم
82,انداختین,می انداختین,انداخته بودین,انداخته باشین,داشتین  می انداختین,می اندازین,باندازین,دارین  می اندازین,می خواین باندازین,باندازین
83,انداختن,می انداختن,انداخته بودن,انداخته باشن,داشتن  می انداختن,می اندازن,باندازن,دارن  می اندازن,می خوان باندازن,باندازن
84,ایستادم,می ایستادم,ایستاده بودم,ایستاده باشم,داشتم  می ایستادم,می ایستم,بایستم,دارم  می ایستم,می خوام بایستم,-
85,ایستادی,می ایستادی,ایستاده بودی,ایستاده باشی,داشتی  می ایستادی,می ایستی,بایستی,داری  می ایستی,می خوای بایستی,بایست
86,ایستاد,می ایستاد,ایستاده بود,ایستاده باش,داشته  می ایستاده,می ایسته,بایسته,داره  می ایسته,می خواد بایسته,بایسته
87,ایستادیم,می ایستادیم,ایستاده بودیم,ایستاده باشیم,داشتیم  می ایستادیم,می ایستیم,بایستیم,داریم  می ایستیم,می خوایم بایستیم,بایستیم
88,ایستادین,می ایستادین,ایستاده بودین,ایستاده باشین,داشتین  می ایستادین,می ایستین,بایستین,دارین  می ایستین,می خواین بایستین,بایستین
89,ایستادن,می ایستادن,ایستاده بودن,ایستاده باشن,داشتن  می ایستادن,می ایستن,بایستن,دارن  می ایستن,می خوان بایستن,بایستن
90,باختم,می باختم,باخته بودم,باخته باشم,داشتم  می باختم,می بازم,ببازم,دارم  می بازم,می خوام ببازم,-
91,باختی,می باختی,باخته بودی,باخته باشی,داشتی  می باختی,می بازی,ببازی,داری  می بازی,می خوای ببازی,بباز
92,باخت,می باخت,باخته بود,باخته باش,داشته  می باخته,می بازه,ببازه,داره  می بازه,می خواد ببازه,ببازه
93,باختیم,می باختیم,باخته بودیم,باخته باشیم,داشتیم  می باختیم,می بازیم,ببازیم,داریم  می بازیم,می خوایم ببازیم,ببازیم
94,باختین,می باختین,باخته بودین,باخته باشین,داشتین  می باختین,می بازین,ببازین,دارین  می بازین,می خواین ببازین,ببازین
95,باختن,می باختن,باخته بودن,باخته باشن,داشتن  می باختن,می بازن,ببازن,دارن  می بازن,می خوان ببازن,ببازن
96,باریدم,می باریدم,باریده بودم,باریده باشم,داشتم  می باریدم,می بارم,ببارم,دارم  می بارم,می خوام ببارم,-
97,باریدی,می باریدی,باریده بودی,باریده باشی,داشتی  می باریدی,می باری,بباری,داری  می باری,می خوای بباری,ببار
98,بارید,می بارید,باریده بود,باریده باش,داشته  می باریده,می باره,بباره,داره  می باره,می خواد بباره,بباره
99,باریدیم,می باریدیم,باریده بودیم,باریده باشیم,داشتیم  می باریدیم,می باریم,بباریم,داریم  می باریم,می خوایم بباریم,بباریم
100,باریدین,می باریدین,باریده بودین,باریده باشین,داشتین  می باریدین,می بارین,ببارین,دارین  می بارین,می خواین ببارین,ببارین
101,باریدن,می باریدن,باریده بودن,باریده باشن,داشتن  می باریدن,می بارن,ببارن,دارن  می بارن,می خوان ببارن,ببارن
102,باز کردم,باز می کردم,باز کرده بودم,باز کرده باشم,داشتم باز می کردم,باز می کنم,باز بکنم,دارم باز می کنم,می خوام باز بکنم,-
103,باز کردی,باز می کردی,باز کرده بودی,باز کرده باشی,داشتی باز می کردی,باز می کنی,باز بکنی,داری باز می کنی,می خوای باز بکنی,باز بکن
104,باز کرد,باز می کرد,باز کرده بود,باز کرده باش,داشته باز می کرده,باز می کنه,باز بکنه,داره باز می کنه,می خواد باز بکنه,باز بکنه
105,باز کردیم,باز می کردیم,باز کرده بودیم,باز کرده باشیم,داشتیم باز می کردیم,باز می کنیم,باز بکنیم,داریم باز می کنیم,می خوایم باز بکنیم,باز بکنیم
106,باز کردین,باز می کردین,باز کرده بودین,باز کرده باشین,داشتین باز می کردین,باز می کنین,باز بکنین,دارین باز می کنین,می خواین باز بکنین,باز بکنین
107,باز کردن,باز می کردن,باز کرده بودن,باز کرده باشن,داشتن باز می کردن,باز می کنن,باز بکنن,دارن باز می کنن,می خوان باز بکنن,باز بکنن
108,بازی کردم,بازی می کردم,بازی کرده بودم,بازی کرده باشم,داشتم بازی می کردم,بازی می کنم,بازی بکنم,دارم بازی می کنم,می خوام بازی بکنم,-
109,بازی کردی,بازی می کردی,بازی کرده بودی,بازی کرده باشی,داشتی بازی می کردی,بازی می کنی,بازی بکنی,داری بازی می کنی,می خوای بازی بکنی,بازی بکن
110,بازی کرد,بازی می کرد,بازی کرده بود,بازی کرده باش,داشته بازی می کرده,بازی می کنه,بازی بکنه,داره بازی می کنه,می خواد بازی بکنه,بازی بکنه
