,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
0,کباب کردن,کباب کردم,کباب می‌کردم,داشتم کباب می‌کردم,کباب کرده‌ام,کباب کرده بودم,کباب کنم,کباب می‌کنم,دارم کباب می‌کنم,کباب خواهم کرد,کباب کرده باشم,کباب بکنم,-
1,کردن,کباب کردی,کباب می‌کردی,داشتی کباب می‌کردی,کباب کرده‌ای,کباب کرده بودی,کباب کنی,کباب می‌کنی,داری کباب می‌کنی,کباب خواهی کرد,کباب کرده باشی,کباب بکنی,کباب بکن
2,کرد,کباب کرد,کباب می‌کرد,داشت کباب می‌کرد,کباب کرده(است),کباب کرده بود,کباب کند,کباب می‌کند,دارد کباب می‌کند,کباب خواهد کرد,کباب کرده باشد,کباب بکند,کباب بکند
3,کرده,کباب کردیم,کباب می‌کردیم,داشتیم کباب می‌کردیم,کباب کرده‌ایم,کباب کرده بودیم,کباب کنیم,کباب می‌کنیم,داریم کباب می‌کنیم,کباب خواهیم کرد,کباب کرده باشیم,کباب بکنیم,کباب بکنیم
4,کن,کباب کردید,کباب می‌کردید,داشتید کباب می‌کردید,کباب کرده‌اید,کباب کرده بودید,کباب کنید,کباب می‌کنید,دارید کباب می‌کنید,کباب خواهید کرد,کباب کرده باشید,کباب بکنید,کباب بکنید
5,-,کباب کردند,کباب می‌کردند,داشتند کباب می‌کردند,کباب کرده‌اند,کباب کرده بودند,کباب کنند,کباب می‌کنند,دارند کباب می‌کنند,کباب خواهند کرد,کباب کرده باشند,کباب بکنند,کباب بکنند
0,کردن,کردم,می‌کردم,داشتم می‌کردم,کرده‌ام,کرده بودم,کنم,می‌کنم,دارم می‌کنم,خواهم کرد,کرده باشم,بکنم,-
1,کرد,کردی,می‌کردی,داشتی می‌کردی,کرده‌ای,کرده بودی,کنی,می‌کنی,داری می‌کنی,خواهی کرد,کرده باشی,بکنی,بکن
2,کرده,کرد,می‌کرد,داشت می‌کرد,کرده(است),کرده بود,کند,می‌کند,دارد می‌کند,خواهد کرد,کرده باشد,بکند,بکند
3,کن,کردیم,می‌کردیم,داشتیم می‌کردیم,کرده‌ایم,کرده بودیم,کنیم,می‌کنیم,داریم می‌کنیم,خواهیم کرد,کرده باشیم,بکنیم,بکنیم
4,-,کردید,می‌کردید,داشتید می‌کردید,کرده‌اید,کرده بودید,کنید,می‌کنید,دارید می‌کنید,خواهید کرد,کرده باشید,بکنید,بکنید
5,-,کردند,می‌کردند,داشتند می‌کردند,کرده‌اند,کرده بودند,کنند,می‌کنند,دارند می‌کنند,خواهند کرد,کرده باشند,بکنند,بکنند
0,کشتن,کشتم,می‌کشتم,داشتم می‌کشتم,کشته‌ام,کشته بودم,کشم,می‌کشم,دارم می‌کشم,خواهم کشت,کشته باشم,بکشم,-
1,کشت,کشتی,می‌کشتی,داشتی می‌کشتی,کشته‌ای,کشته بودی,کشی,می‌کشی,داری می‌کشی,خواهی کشت,کشته باشی,بکشی,بکش
2,کشته,کشت,می‌کشت,داشت می‌کشت,کشته(است),کشته بود,کشد,می‌کشد,دارد می‌کشد,خواهد کشت,کشته باشد,بکشد,بکشد
3,کش,کشتیم,می‌کشتیم,داشتیم می‌کشتیم,کشته‌ایم,کشته بودیم,کشیم,می‌کشیم,داریم می‌کشیم,خواهیم کشت,کشته باشیم,بکشیم,بکشیم
4,-,کشتید,می‌کشتید,داشتید می‌کشتید,کشته‌اید,کشته بودید,کشید,می‌کشید,دارید می‌کشید,خواهید کشت,کشته باشید,بکشید,بکشید
5,-,کشتند,می‌کشتند,داشتند می‌کشتند,کشته‌اند,کشته بودند,کشند,می‌کشند,دارند می‌کشند,خواهند کشت,کشته باشند,بکشند,بکشند
0,کشیدن,کشیدم,می‌کشیدم,داشتم می‌کشیدم,کشیده‌ام,کشیده بودم,کشم,می‌کشم,دارم می‌کشم,خواهم کشید,کشیده باشم,بکشم,-
1,کشید,کشیدی,می‌کشیدی,داشتی می‌کشیدی,کشیده‌ای,کشیده بودی,کشی,می‌کشی,داری می‌کشی,خواهی کشید,کشیده باشی,بکشی,بکش
2,کشیده,کشید,می‌کشید,داشت می‌کشید,کشیده(است),کشیده بود,کشد,می‌کشد,دارد می‌کشد,خواهد کشید,کشیده باشد,بکشد,بکشد
3,کش,کشیدیم,می‌کشیدیم,داشتیم می‌کشیدیم,کشیده‌ایم,کشیده بودیم,کشیم,می‌کشیم,داریم می‌کشیم,خواهیم کشید,کشیده باشیم,بکشیم,بکشیم
4,-,کشیدید,می‌کشیدید,داشتید می‌کشیدید,کشیده‌اید,کشیده بودید,کشید,می‌کشید,دارید می‌کشید,خواهید کشید,کشیده باشید,بکشید,بکشید
5,-,کشیدند,می‌کشیدند,داشتند می‌کشیدند,کشیده‌اند,کشیده بودند,کشند,می‌کشند,دارند می‌کشند,خواهند کشید,کشیده باشند,بکشند,بکشند
0,کمک کردن,کمک کردم,کمک می‌کردم,داشتم کمک می‌کردم,کمک کرده‌ام,کمک کرده بودم,کمک کنم,کمک می‌کنم,دارم کمک می‌کنم,کمک خواهم کرد,کمک کرده باشم,کمک بکنم,-
1,کردن,کمک کردی,کمک می‌کردی,داشتی کمک می‌کردی,کمک کرده‌ای,کمک کرده بودی,کمک کنی,کمک می‌کنی,داری کمک می‌کنی,کمک خواهی کرد,کمک کرده باشی,کمک بکنی,کمک بکن
