,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
3,گذار,گذاشتیم,می‌گذاشتیم,داشتیم می‌گذاشتیم,گذاشته‌ایم,گذاشته بودیم,گذاریم,می‌گذاریم,داریم می‌گذاریم,خواهیم گذاشت,گذاشته باشیم,بگذاریم,بگذاریم
4,-,گذاشتید,می‌گذاشتید,داشتید می‌گذاشتید,گذاشته‌اید,گذاشته بودید,گذارید,می‌گذارید,دارید می‌گذارید,خواهید گذاشت,گذاشته باشید,بگذارید,بگذارید
5,-,گذاشتند,می‌گذاشتند,داشتند می‌گذاشتند,گذاشته‌اند,گذاشته بودند,گذارند,می‌گذارند,دارند می‌گذارند,خواهند گذاشت,گذاشته باشند,بگذارند,بگذارند
0,گرفتن,گرفتم,می‌گرفتم,داشتم می‌گرفتم,گرفته‌ام,گرفته بودم,گیرم,می‌گیرم,دارم می‌گیرم,خواهم گرفت,گرفته باشم,بگیرم,-
1,گرفت,گرفتی,می‌گرفتی,داشتی می‌گرفتی,گرفته‌ای,گرفته بودی,گیری,می‌گیری,داری می‌گیری,خواهی گرفت,گرفته باشی,بگیری,بگیر
2,گرفته,گرفت,می‌گرفت,داشت می‌گرفت,گرفته(است),گرفته بود,گیرد,می‌گیرد,دارد می‌گیرد,خواهد گرفت,گرفته باشد,بگیرد,بگیرد
3,گیر,گرفتیم,می‌گرفتیم,داشتیم می‌گرفتیم,گرفته‌ایم,گرفته بودیم,گیریم,می‌گیریم,داریم می‌گیریم,خواهیم گرفت,گرفته باشیم,بگیریم,بگیریم
4,-,گرفتید,می‌گرفتید,داشتید می‌گرفتید,گرفته‌اید,گرفته بودید,گیرید,می‌گیرید,دارید می‌گیرید,خواهید گرفت,گرفته باشید,بگیرید,بگیرید
5,-,گرفتند,می‌گرفتند,داشتند می‌گرفتند,گرفته‌اند,گرفته بودند,گیرند,می‌گیرند,دارند می‌گیرند,خواهند گرفت,گرفته باشند,بگیرند,بگیرند
0,گریه کردن,گریه کردم,گریه می‌کردم,داشتم گریه می‌کردم,گریه کرده‌ام,گریه کرده بودم,گریه کنم,گریه می‌کنم,دارم گریه می‌کنم,گریه خواهم کرد,گریه کرده باشم,گریه بکنم,-
